Age,Location,Audio File,Mfcc File,Word,Annotation
10-12 years,Maharashtra,./All/114/MR_S2_W_4.mp3,mfcc_files/./All/114/MR_S2_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/4501/HI_S4_W_4.mp3,mfcc_files/./All/4501/HI_S4_W_4.csv,man,Correct
10-12 years,Maharashtra,./All/42/MR_S2_W_4.mp3,mfcc_files/./All/42/MR_S2_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/1440/HI_S4_W_4.mp3,mfcc_files/./All/1440/HI_S4_W_4.csv,man,Correct
10-12 years,Maharashtra,./All/249/MR_S2_W_4.mp3,mfcc_files/./All/249/MR_S2_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/2267/HI_S4_W_4.mp3,mfcc_files/./All/2267/HI_S4_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/4583/HI_S2_W_4.mp3,mfcc_files/./All/4583/HI_S2_W_4.csv,man,Correct
12-15 years,Rajasthan,./All/5253/HI_S4_W_4.mp3,mfcc_files/./All/5253/HI_S4_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/2446/HI_S4_W_4.mp3,mfcc_files/./All/2446/HI_S4_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/4791/HI_S4_W_4.mp3,mfcc_files/./All/4791/HI_S4_W_4.csv,man,Correct
12-15 years,Maharashtra,./All/686/MR_S2_W_4.mp3,mfcc_files/./All/686/MR_S2_W_4.csv,man,Correct
7-10 years,Maharashtra,./All/469/MR_S2_W_4.mp3,mfcc_files/./All/469/MR_S2_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/4446/HI_S4_W_4.mp3,mfcc_files/./All/4446/HI_S4_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/4637/HI_S2_W_4.mp3,mfcc_files/./All/4637/HI_S2_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/3046/HI_S4_W_4.mp3,mfcc_files/./All/3046/HI_S4_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/2585/HI_S2_W_4.mp3,mfcc_files/./All/2585/HI_S2_W_4.csv,man,Correct
12-15 years,Maharashtra,./All/389/MR_S2_W_4.mp3,mfcc_files/./All/389/MR_S2_W_4.csv,man,Correct
12-15 years,Rajasthan,./All/4326/HI_S2_W_4.mp3,mfcc_files/./All/4326/HI_S2_W_4.csv,man,Correct
12-15 years,Rajasthan,./All/4484/HI_S4_W_4.mp3,mfcc_files/./All/4484/HI_S4_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/5075/HI_S4_W_4.mp3,mfcc_files/./All/5075/HI_S4_W_4.csv,man,Correct
12-15 years,Maharashtra,./All/580/MR_S2_W_4.mp3,mfcc_files/./All/580/MR_S2_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/3973/HI_S4_W_4.mp3,mfcc_files/./All/3973/HI_S4_W_4.csv,man,Correct
5-7 years,Uttar Pradesh,./All/2185/HI_S2_W_4.mp3,mfcc_files/./All/2185/HI_S2_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/4620/HI_S2_W_4.mp3,mfcc_files/./All/4620/HI_S2_W_4.csv,man,Correct
12-15 years,Rajasthan,./All/5113/HI_S4_W_4.mp3,mfcc_files/./All/5113/HI_S4_W_4.csv,man,Correct
12-15 years,Maharashtra,./All/527/MR_S2_W_4.mp3,mfcc_files/./All/527/MR_S2_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/3044/HI_S4_W_4.mp3,mfcc_files/./All/3044/HI_S4_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/4910/HI_S2_W_4.mp3,mfcc_files/./All/4910/HI_S2_W_4.csv,man,Correct
7-10 years,Uttar Pradesh,./All/1714/HI_S2_W_4.mp3,mfcc_files/./All/1714/HI_S2_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/5285/HI_S4_W_4.mp3,mfcc_files/./All/5285/HI_S4_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/4394/HI_S2_W_4.mp3,mfcc_files/./All/4394/HI_S2_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/4321/HI_S2_W_4.mp3,mfcc_files/./All/4321/HI_S2_W_4.csv,man,Correct
7-10 years,Uttar Pradesh,./All/2253/HI_S4_W_4.mp3,mfcc_files/./All/2253/HI_S4_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/1463/HI_S4_W_4.mp3,mfcc_files/./All/1463/HI_S4_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/1412/HI_S2_W_4.mp3,mfcc_files/./All/1412/HI_S2_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/3682/HI_S2_W_4.mp3,mfcc_files/./All/3682/HI_S2_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/4892/HI_S4_W_4.mp3,mfcc_files/./All/4892/HI_S4_W_4.csv,man,Correct
10-12 years,Maharashtra,./All/329/MR_S2_W_4.mp3,mfcc_files/./All/329/MR_S2_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/1678/HI_S2_W_4.mp3,mfcc_files/./All/1678/HI_S2_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/2441/HI_S4_W_4.mp3,mfcc_files/./All/2441/HI_S4_W_4.csv,man,Correct
10-12 years,Maharashtra,./All/438/MR_S2_W_4.mp3,mfcc_files/./All/438/MR_S2_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/4073/HI_S2_W_4.mp3,mfcc_files/./All/4073/HI_S2_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/3189/HI_S4_W_4.mp3,mfcc_files/./All/3189/HI_S4_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/4549/HI_S4_W_4.mp3,mfcc_files/./All/4549/HI_S4_W_4.csv,man,Correct
12-15 years,Rajasthan,./All/3884/HI_S2_W_4.mp3,mfcc_files/./All/3884/HI_S2_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/1367/HI_S4_W_4.mp3,mfcc_files/./All/1367/HI_S4_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/4533/HI_S2_W_4.mp3,mfcc_files/./All/4533/HI_S2_W_4.csv,man,Correct
12-15 years,Maharashtra,./All/771/MR_S2_W_4.mp3,mfcc_files/./All/771/MR_S2_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/2794/HI_S2_W_4.mp3,mfcc_files/./All/2794/HI_S2_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/3024/HI_S2_W_4.mp3,mfcc_files/./All/3024/HI_S2_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/5173/HI_S4_W_4.mp3,mfcc_files/./All/5173/HI_S4_W_4.csv,man,Correct
7-10 years,Uttar Pradesh,./All/2509/HI_S4_W_4.mp3,mfcc_files/./All/2509/HI_S4_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/5293/HI_S2_W_4.mp3,mfcc_files/./All/5293/HI_S2_W_4.csv,man,Correct
12-15 years,Rajasthan,./All/5092/HI_S4_W_4.mp3,mfcc_files/./All/5092/HI_S4_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/3786/HI_S4_W_4.mp3,mfcc_files/./All/3786/HI_S4_W_4.csv,man,Correct
12-15 years,Rajasthan,./All/3628/HI_S4_W_4.mp3,mfcc_files/./All/3628/HI_S4_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/4206/HI_S4_W_4.mp3,mfcc_files/./All/4206/HI_S4_W_4.csv,man,Correct
10-12 years,Maharashtra,./All/514/MR_S2_W_4.mp3,mfcc_files/./All/514/MR_S2_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/4826/HI_S2_W_4.mp3,mfcc_files/./All/4826/HI_S2_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/2887/HI_S4_W_4.mp3,mfcc_files/./All/2887/HI_S4_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/2985/HI_S2_W_4.mp3,mfcc_files/./All/2985/HI_S2_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/3983/HI_S2_W_4.mp3,mfcc_files/./All/3983/HI_S2_W_4.csv,man,Correct
12-15 years,Rajasthan,./All/3856/HI_S4_W_4.mp3,mfcc_files/./All/3856/HI_S4_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/3001/HI_S2_W_4.mp3,mfcc_files/./All/3001/HI_S2_W_4.csv,man,Correct
10-12 years,Maharashtra,./All/381/MR_S2_W_4.mp3,mfcc_files/./All/381/MR_S2_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/5152/HI_S4_W_4.mp3,mfcc_files/./All/5152/HI_S4_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/5197/HI_S2_W_4.mp3,mfcc_files/./All/5197/HI_S2_W_4.csv,man,Correct
